2024-05-14 12:03:38,357 INFO    StreamThr :3849224 [internal.py:wandb_internal():86] W&B internal server running at pid: 3849224, started at: 2024-05-14 12:03:38.357196
2024-05-14 12:03:38,361 DEBUG   HandlerThread:3849224 [handler.py:handle_request():146] handle_request: status
2024-05-14 12:03:38,365 INFO    WriterThread:3849224 [datastore.py:open_for_write():87] open: /home/pedro/PINN/jaxpi/examples/geomII/wandb/run-20240514_120338-0rvb28kp/run-0rvb28kp.wandb
2024-05-14 12:03:38,366 DEBUG   SenderThread:3849224 [sender.py:send():379] send: header
2024-05-14 12:03:38,366 DEBUG   SenderThread:3849224 [sender.py:send():379] send: run
2024-05-14 12:03:38,846 INFO    SenderThread:3849224 [dir_watcher.py:__init__():211] watching files in: /home/pedro/PINN/jaxpi/examples/geomII/wandb/run-20240514_120338-0rvb28kp/files
2024-05-14 12:03:38,846 INFO    SenderThread:3849224 [sender.py:_start_run_threads():1124] run started: 0rvb28kp with start time 1715688218.356684
2024-05-14 12:03:38,850 DEBUG   HandlerThread:3849224 [handler.py:handle_request():146] handle_request: check_version
2024-05-14 12:03:38,850 DEBUG   SenderThread:3849224 [sender.py:send_request():406] send_request: check_version
2024-05-14 12:03:38,935 DEBUG   HandlerThread:3849224 [handler.py:handle_request():146] handle_request: run_start
2024-05-14 12:03:38,944 ERROR   HandlerThread:3849224 [gpu.py:is_available():381] Error initializing NVML: Unknown Error
2024-05-14 12:03:38,945 DEBUG   HandlerThread:3849224 [system_info.py:__init__():26] System info init
2024-05-14 12:03:38,945 DEBUG   HandlerThread:3849224 [system_info.py:__init__():41] System info init done
2024-05-14 12:03:38,945 INFO    HandlerThread:3849224 [system_monitor.py:start():194] Starting system monitor
2024-05-14 12:03:38,946 INFO    HandlerThread:3849224 [system_monitor.py:probe():214] Collecting system info
2024-05-14 12:03:38,947 INFO    SystemMonitor:3849224 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-14 12:03:38,948 INFO    SystemMonitor:3849224 [interfaces.py:start():190] Started cpu monitoring
2024-05-14 12:03:38,950 INFO    SystemMonitor:3849224 [interfaces.py:start():190] Started disk monitoring
2024-05-14 12:03:38,953 INFO    SystemMonitor:3849224 [interfaces.py:start():190] Started memory monitoring
2024-05-14 12:03:38,954 INFO    SystemMonitor:3849224 [interfaces.py:start():190] Started network monitoring
2024-05-14 12:03:38,970 DEBUG   HandlerThread:3849224 [system_info.py:probe():150] Probing system
2024-05-14 12:03:38,970 DEBUG   HandlerThread:3849224 [system_info.py:probe():198] Probing system done
